"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"N4bp2l2",4.87315186847058e-174,0.295056285568843,0.396,0.277,8.81017126300795e-170
"Gtf3a",9.3926250226895e-174,0.311007628298291,0.305,0.197,1.69809267785203e-169
"Rnf6",1.04456567949691e-173,0.307335358802329,0.394,0.275,1.88847029196247e-169
"Zcchc8",1.07415425250346e-173,0.319584808768491,0.365,0.25,1.941963473101e-169
"Map11",1.7848511902959e-173,0.312793884277215,0.375,0.259,3.22683246693596e-169
"Slc8b1",3.04772928000387e-173,0.326185381654855,0.319,0.209,5.509989765319e-169
"Anxa3",4.04762887218879e-173,0.379898473674844,0.843,0.81,7.31770823803011e-169
"Ptprs",4.34944447666152e-173,0.297684543364985,0.662,0.548,7.86336066935636e-169
"Dok7",4.1282864100186e-172,0.421262548763536,0.321,0.215,7.46352900067262e-168
"Uvssa",4.37935729309292e-172,0.322655731158159,0.347,0.236,7.9174400501827e-168
"Rbm47",1.8711432511059e-171,0.314282662492326,0.504,0.383,3.38283988367435e-167
"Micall2",1.48710512979474e-170,0.329186899186844,0.258,0.159,2.68853736415592e-166
"Slc30a9",9.41412232353178e-170,0.304402273596984,0.301,0.194,1.70197917487131e-165
"Pmpcb",1.17155017980423e-168,0.305193493156853,0.359,0.247,2.11804557006807e-164
"Ociad1",6.11216332220069e-168,0.296335696795987,0.357,0.243,1.10501800702066e-163
"Selenoi",1.95104990476106e-167,0.312316208530515,0.346,0.236,3.52730312281752e-163
"Crot",4.3989133889662e-167,0.311427499787443,0.299,0.193,7.95279551591199e-163
"Eif4h",3.42257929676199e-166,0.291886415579642,0.404,0.288,6.18768111061601e-162
"Ap5z1",3.55359463034589e-166,0.304434100795209,0.372,0.259,6.42454373220233e-162
"Cdk6",1.68238065908268e-165,0.356328590245776,0.579,0.464,3.04157599355558e-161
"Rheb",3.09520601218176e-165,0.300522522019488,0.302,0.197,5.59582294942341e-161
"Sel1l3",3.3635666475116e-165,0.336276190060087,0.385,0.274,6.08099214203622e-161
"Paxip1",4.17262643316509e-165,0.314690163180096,0.368,0.257,7.54369132851917e-161
"Chic2",1.41931491234547e-164,0.292606067698589,0.421,0.302,2.56597943002938e-160
"Helq",1.58561725680753e-164,0.327664760014001,0.268,0.169,2.86663743858234e-160
"Mgp",1.58645600086653e-164,0.412051349229997,0.746,0.669,2.86815380396659e-160
"Slc35f6",3.26208978629997e-162,0.312797523907546,0.257,0.161,5.89753212465171e-158
"Sgsm1",2.45568820751931e-161,0.321627777459625,0.258,0.162,4.43963871037416e-157
"Ankrd13a",2.88380212588597e-161,0.298111311075085,0.294,0.191,5.21362586338925e-157
"Sh3bp2",7.42577267402284e-161,0.321855957392195,0.277,0.176,1.34250544173659e-156
"Stx18",7.53943559851538e-160,0.30763721825135,0.287,0.186,1.36305456185559e-155
"Ccz1",6.8144157261231e-159,0.295462129730463,0.344,0.236,1.23197821912579e-154
"Ubc",1.64783354090873e-158,0.307973958195531,0.486,0.368,2.97911825860889e-154
"Prss32",6.47885636439679e-158,-0.46949980066433,0.178,0.271,1.1713124421193e-153
"Anapc7",1.218282686863e-157,0.293631459544071,0.348,0.239,2.20253326957961e-153
"Eppk1",3.39471624839631e-157,-0.5946715061431,0.519,0.59,6.13730750547569e-153
"Ap1s1",5.73791609228756e-157,0.288223747181913,0.425,0.31,1.03735785032467e-152
"Ivns1abp",5.89752885162187e-157,-0.445177958676621,0.535,0.613,1.06621424108472e-152
"Pcgf3",1.88685163416607e-156,0.283763983710103,0.361,0.25,3.41123906940883e-152
"Rint1",2.8448569991641e-156,0.30253788890399,0.373,0.262,5.14321696878877e-152
"Mfsd10",5.74912782314513e-156,0.289679746259639,0.351,0.243,1.03938481914641e-151
"Ankle2",1.82725705723433e-155,0.285251308581086,0.287,0.186,3.30349803377394e-151
"Ubl3",8.52534130009298e-154,0.286053164078317,0.338,0.233,1.54129645364381e-149
"Psmc2",1.42334123686625e-153,0.281738302178558,0.275,0.176,2.5732586221305e-149
"Hopx",1.09252952477636e-151,0.343731508540283,0.614,0.511,1.97518412784319e-147
"Nom1",1.71150010862122e-151,0.285806586505825,0.319,0.216,3.09422104637631e-147
"Yes1",9.65965286450026e-151,0.283021961640868,0.38,0.269,1.746368641373e-146
"Ap4m1",1.69387241686374e-150,0.280640683666155,0.315,0.212,3.06235194244795e-146
"Mospd3",6.2777803974527e-150,0.294331581893827,0.281,0.185,1.13495991805547e-145
"Clock",2.21635076906671e-149,0.276421397671868,0.468,0.353,4.00694055539571e-145
"Aacs",2.49735581926725e-148,0.316999294569868,0.31,0.211,4.51496958565327e-144
"Naa25",5.51312084831727e-148,0.292383759530971,0.286,0.189,9.96717118167279e-144
"Hmgb1",6.65562168278127e-148,0.29774379328583,0.345,0.241,1.20326984403003e-143
"Med28",1.57191163312113e-147,0.284297181051581,0.341,0.237,2.84185904151968e-143
"Eif2b4",2.46579091104395e-147,0.284998950164053,0.287,0.189,4.45790338807636e-143
"Zfp513",3.62846397332443e-147,0.281088145789317,0.29,0.192,6.55990001737324e-143
"Myo15b",1.92679741820677e-146,-0.572009760531544,0.346,0.442,3.48345705237602e-142
"Aff1",1.04259818761232e-145,0.277992696332918,0.421,0.312,1.88491326338431e-141
"Cenpc1",5.51148430247245e-145,0.288454600379633,0.326,0.225,9.96421247043995e-141
"Pitpnb",1.24369467609892e-144,0.272640799659605,0.313,0.213,2.24847560491923e-140
"Ppm1g",1.82761866492321e-144,0.297366181871092,0.342,0.24,3.30415178431466e-140
"Slc15a4",3.80425665033659e-144,0.268766544642537,0.356,0.25,6.87771559814352e-140
"Ephb4",9.98090134172863e-144,0.262719337084904,0.691,0.583,1.80444715357112e-139
"Fam133b",1.69269361477477e-143,0.283911459614248,0.312,0.212,3.06022078615131e-139
"Mapk13",3.12608297289367e-143,-0.367836783880803,0.587,0.648,5.65164540669447e-139
"Afap1",1.02550685702512e-141,0.310080654858415,0.345,0.244,1.85401384681572e-137
"Atp1b1",1.03908033086683e-140,-0.32769761091487,0.923,0.941,1.87855333017414e-136
"Kif12",1.36516810630822e-140,-0.417270000309269,0.396,0.491,2.46808741939463e-136
"Pgm2",4.88906446827109e-140,0.280692853087505,0.358,0.255,8.8389396521873e-136
"Hnrnpdl",7.14529683455894e-140,0.268362375790281,0.405,0.297,1.29179821471991e-135
"Pigr",3.16026540374184e-138,-0.483087438956156,0.372,0.462,5.71344382342488e-134
"Ptpn13",1.10095661018644e-137,0.322205416072764,0.447,0.342,1.99041945555607e-133
"Gbp8",5.88702854575679e-137,0.556364575792061,0.322,0.232,1.06431589078737e-132
"Tfip11",5.21415180619762e-136,0.284184944586529,0.301,0.206,9.42666505042468e-132
"Tyw1",1.46252343532075e-135,0.267560870118635,0.349,0.247,2.64409611871638e-131
"Sbds",6.62211842518433e-135,0.265022254519227,0.476,0.366,1.19721279008908e-130
"Hpse",1.8094135823981e-134,0.277762250343902,0.301,0.206,3.27123881561753e-130
"Arap2",2.27402358400544e-134,0.280345919976318,0.314,0.219,4.11120723752344e-130
"Rnf216",2.93413773962169e-134,0.262064811581433,0.34,0.239,5.30462761946206e-130
"Sumf2",3.43154788957136e-134,0.266580082398886,0.264,0.173,6.20389542955607e-130
"Pxn",1.24848824682126e-133,0.264084743169338,0.351,0.251,2.25714190142815e-129
"Rbm5",1.26413096836094e-133,0.269497093519711,0.598,0.492,2.28542237769974e-129
"Nfxl1",1.39454012984931e-133,0.276043545194437,0.331,0.232,2.52118910075457e-129
"Bod1l",4.11402027889863e-133,0.259559660540133,0.31,0.214,7.43773726222083e-129
"Cldn3",1.80671961385871e-132,0.322063314322216,0.699,0.606,3.26636838989517e-128
"Tbc1d14",4.41799771026833e-131,0.264917145774321,0.369,0.267,7.98729806039412e-127
"Trmt44",2.83410617310139e-130,0.259384437052193,0.256,0.168,5.12378055035e-126
"Krit1",1.03016261023268e-129,0.2772635577193,0.263,0.174,1.86243098303966e-125
"Hadha",1.22162128081396e-129,0.255887217523601,0.251,0.164,2.20856911358356e-125
"Gsdmd",1.61083678493791e-129,-0.361738318896363,0.54,0.61,2.91223182348926e-125
"Golga3",3.46176679494734e-128,0.26276264496777,0.294,0.202,6.2585281885853e-124
"Camk2n1",2.154800069856e-127,-0.41910481476584,0.248,0.335,3.89566304629267e-123
"Ptpn12",3.20975589260834e-127,0.270918018897128,0.377,0.276,5.80291767824661e-123
"Ppp1r35",3.37459897428081e-126,0.264197658111559,0.257,0.171,6.10093748560228e-122
"Tmem128",6.23065280313048e-126,0.254019940999123,0.308,0.215,1.12643972027796e-121
"Slain2",1.31740414786669e-125,0.254809926416358,0.275,0.185,2.38173495892819e-121
"Tec",8.4168989007151e-125,0.269575997459246,0.325,0.229,1.52169115226028e-120
"Lamb2",1.65546648646905e-123,0.272785500612443,0.385,0.286,2.99291786088739e-119
"Mpzl2",7.53140106342703e-123,-0.405405760439784,0.352,0.432,1.36160199825697e-118
"Zcchc4",2.24765923502438e-122,0.254585399122046,0.282,0.193,4.06354313100058e-118
"Lgals4",8.61499868266528e-122,-0.266274804381885,0.692,0.759,1.55750561183906e-117
"Nup54",9.80836834893314e-121,0.264368545181303,0.316,0.224,1.77325491380362e-116
"Mxd4",6.06970672029227e-119,0.254969305206137,0.261,0.175,1.09734227796164e-114
"Rfc2",8.38990749603263e-117,0.258991136910336,0.356,0.261,1.51681137620774e-112
"Rufy3",9.62573867833244e-117,0.263116328342751,0.253,0.171,1.74023729565572e-112
